	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
FBgn0000003	0.171568715207063	0.674575206109884	3.87108289295889	0.17426007780326	0.861661072454287	NA	7SLRNA:CR32864
FBgn0000008	95.1440789963134	-0.0406734100649377	0.222214996341688	-0.183036296985089	0.854769538804725	0.951973423120812	a
FBgn0000014	1.05657219346166	-0.0849854425078908	2.11182004375288	-0.0402427483152705	0.967899596989047	NA	abd-A
FBgn0000015	0.846723274987709	-1.86106034274778	2.26306254803504	-0.822363634784947	0.410869969672005	NA	Abd-B
FBgn0000017	4352.5928987935	-0.256129945019968	0.111895780018883	-2.28900450916688	0.022079090394808	0.131909906018481	Abl
FBgn0000018	418.614930505122	-0.0646903133702059	0.131662776325268	-0.491333353098911	0.623190693624851	0.866293262600575	abo
FBgn0000022	0.0796749105101128	-0.763412593004771	3.87066162738431	-0.197230516768438	0.843647150692563	NA	ac
FBgn0000024	6.40628919476961	0.311013149513215	0.765500036475696	0.406287569815275	0.684531317528175	0.894125093590976	Ace
FBgn0000028	0.438900024085017	0.91109107099209	2.97938124444814	0.305798753580073	0.759757877539247	NA	acj6
FBgn0000032	989.730032286706	-0.0484424092220344	0.120796899640859	-0.401023613735606	0.688402738489035	0.895732498367858	Acph-1
FBgn0000036	0.589596332729872	0.338149879837193	2.47393299056351	0.136685141079819	0.891279674990102	NA	nAChRalpha1
FBgn0000037	14.0948138653578	0.454987445978348	0.533683100906005	0.852542351830028	0.3939131431526	0.723730852326673	mAChR-A
FBgn0000038	0	NA	NA	NA	NA	NA	nAChRbeta1
FBgn0000039	0.438900024085017	0.91109107099209	2.97938124444814	0.305798753580073	0.759757877539247	NA	nAChRalpha2
FBgn0000042	82207.7246355838	0.301575549698247	0.1235007968823	2.44189152872963	0.0146105358130232	0.0973925034990842	Act5C
FBgn0000043	31162.0800981548	0.608311017463999	0.111007096887564	5.47992907228393	4.25496374261863e-08	1.41280852721892e-06	Act42A
FBgn0000044	27.0142162829088	0.496833996573334	0.413770798439701	1.20074688317024	0.229849401827225	0.576490635759009	Act57B
FBgn0000045	6.49768786824646	0.326936129139113	0.774591668695808	0.422075452592435	0.672969944686174	0.887908613479328	Act79B
FBgn0000046	23.6865655871929	0.621670497754419	0.466417723412349	1.3328620816684	0.182577068061767	0.509765868264947	Act87E
FBgn0000047	9.27446768376142	0.802195994747854	0.672531752815996	1.19280017841378	0.232947640219601	0.578373224463724	Act88F
FBgn0000052	2342.87838063352	-0.171556254764985	0.113325020725331	-1.51384269481662	0.130065741132712	0.417377263394139	Pfas
FBgn0000053	2100.27876868186	0.24912822944968	0.105450126843183	2.36252185661344	0.0181510710927126	0.115231799815857	Gart
FBgn0000054	654.288209497534	-0.120509040676839	0.119553987734186	-1.00798846580322	0.313459999486091	0.665180827751291	NA
FBgn0000055	0.087343676946538	0.902880936363552	3.85978359942536	0.233920092436781	0.815047014392725	NA	Adh
FBgn0000056	0	NA	NA	NA	NA	NA	Adhr
FBgn0000057	682.648317882294	-0.0523125330603906	0.11397563242063	-0.458979976240269	0.646248545415693	0.875803060293162	adp
FBgn0000061	1.57835265432906	0.571155089934533	1.5721920926352	0.36328581768733	0.716391386554048	NA	al
FBgn0000063	404.771774959063	0.236631462712769	0.126959328503233	1.86383675388408	0.0623446326331014	0.26297719201278	Mps1
FBgn0000064	7917.16080656924	0.268919042114479	0.0831771678140834	3.23308726639459	0.00122460148181394	0.0136395803018745	Ald1
FBgn0000071	342.2384071951	2.62136175100879	0.158701416619237	16.5175699552706	2.74226372308331e-61	2.412917849941e-58	Ama
FBgn0000075	2.0524421521127	-0.428288793020759	1.33209656682643	-0.321514823839768	0.747820280315951	NA	amd
FBgn0000077	224.199083286086	-0.0596924320551284	0.161792593299651	-0.368944157688195	0.712169348497878	0.902347161202141	amx
FBgn0000078	29.0157817140274	-1.14501101750846	0.380154934027266	-3.01195884893168	0.00259567782481957	0.0252647889165789	Amy-d
FBgn0000079	159.515293800957	-1.26752777667191	0.185505797959253	-6.83282027093479	8.32612464507928e-12	5.12318676587781e-10	Amy-p
FBgn0000083	5442.63170454361	-0.0590484729093819	0.0977914816001612	-0.603820209523081	0.545963181699566	0.831849356844066	AnxB9
FBgn0000084	1695.91002088768	-0.230756619528424	0.0977200890778167	-2.36140410540014	0.0182058797644321	0.115247148235423	AnxB10
FBgn0000092	12.6128982724471	0.716707426821724	0.545679234935693	1.31342257673812	0.189040594051657	0.519640170903008	dyw
FBgn0000094	21.0900088710877	0.452003972665835	0.470043690191739	0.961621189897167	0.336239923364957	0.684502414067683	Anp
FBgn0000097	3047.82384416528	0.00982544126096832	0.11260744334807	0.0872539236202871	0.930469677901117	0.975945010829888	aop
FBgn0000099	1.6717340460854	-0.437002058333833	1.54352800592834	-0.283118969435869	0.777085640739165	NA	NA
FBgn0000100	25406.8374384528	-0.211858429502192	0.0875200381750355	-2.42068483880785	0.0154913014120138	0.101798327949447	RpLP0
FBgn0000108	50.0739541500761	0.163787410331494	0.34350517988314	0.476812053859609	0.633495961550562	0.871775252687425	Appl
FBgn0000109	132.528164098497	-0.185302493868386	0.235940659190983	-0.785377537317094	0.432232246881493	0.752501631889564	Aprt
FBgn0000114	3.69120564589978	-0.0110822677787436	1.12586626919809	-0.00984332516386429	0.992146289650703	NA	bru1
FBgn0000115	572.481675889813	0.0567702030138678	0.121163857763023	0.46854073534784	0.63939794738306	0.874019347370443	Arl1
FBgn0000116	658.392246950606	1.19420502426852	0.144497642696349	8.26452945518324	1.40246832373673e-16	1.52349614574808e-14	Argk
FBgn0000117	10812.682313563	0.113891094002328	0.0855578676773274	1.33115863092634	0.183136820307379	0.510222811635938	arm
FBgn0000119	643.493604010952	-0.117981570210177	0.117842172587301	-1.00118291796404	0.316738383417625	0.667310044224087	arr
FBgn0000120	0	NA	NA	NA	NA	NA	Arr1
FBgn0000121	9.0803732161961	0.176943630597861	0.652524996147557	0.27116758996593	0.786262138853255	0.928365783587201	Arr2
FBgn0000137	0.087343676946538	0.902880936363552	3.85978359942536	0.233920092436781	0.815047014392725	NA	ase
FBgn0000139	647.194002893582	-0.396413031287837	0.115433371495414	-3.43412850332962	0.000594462305115339	0.00748951938820273	ash2
FBgn0000140	946.001367635105	0.11663734614554	0.118670355841832	0.98286842841357	0.325672198123402	0.674732675132521	asp
FBgn0000142	1905.92194472857	-0.109533636941298	0.103145704265823	-1.06193115574656	0.288266939899749	0.640230140098468	NA
FBgn0000146	1576.30641475813	0.502568756182224	0.0978301418395279	5.13715657293633	2.78926557103685e-07	8.31957551171295e-06	aub
FBgn0000147	415.443457019284	0.414926944838436	0.138716758596881	2.99118108752987	0.00277900641322014	0.0267825601642103	aurA
FBgn0000150	8947.89987679134	0.22595743515155	0.100558763638222	2.2470188273642	0.0246388238988874	0.14188286092036	awd
FBgn0000152	510.941052499106	0.108869124892244	0.132547908983848	0.821356788853688	0.411443069208631	0.738753774949877	Axs
FBgn0000153	24.8029621201495	-0.273365158360391	0.408445286788335	-0.669282195688683	0.503315481985451	0.805807423349423	b
FBgn0000157	0.284854336053305	-1.43073782866705	3.77991302773925	-0.378510780054315	0.705051187113773	NA	Dll
FBgn0000158	6.04274854909531	0.247413345640319	0.780599069275768	0.316953165047797	0.75127914021086	0.917233960693126	bam
FBgn0000163	896.117248934645	-0.157860769555167	0.122660563285766	-1.28697248183505	0.198103879743763	0.533793893354964	baz
FBgn0000166	8.04614313802891	-0.177139325717661	0.715273309629608	-0.247652643168511	0.804403175805007	0.935353905704449	bcd
FBgn0000171	6836.91863140907	-0.0865942914320346	0.103021143600036	-0.840548730154115	0.40060079122719	0.728432808846466	NA
FBgn0000173	1545.76153518692	0.162135309703889	0.112378209433457	1.44276466515419	0.149086776097974	0.456759938330806	ben
FBgn0000179	1.06412667893113	0.899332025788288	2.00176956377339	0.449268508255778	0.65323797234141	NA	bi
FBgn0000180	27.406851861645	0.312364493648001	0.394051315599038	0.792700040026879	0.427952606988413	0.748619282085695	bib
FBgn0000181	13451.8877259857	-0.167017193803905	0.0965859603850124	-1.72920777655612	0.0837719150494532	0.320778142715774	bic
FBgn0000182	3.81786308209388	-0.39655804559729	0.978600123664699	-0.405229915680211	0.685308517113737	NA	BicC
FBgn0000183	2642.64636343421	-0.00602265317851812	0.0882311892644086	-0.068259911588289	0.945578735580625	0.981380902851371	BicD
FBgn0000206	0	NA	NA	NA	NA	NA	boss
FBgn0000210	1573.20060566926	-0.0150079960717212	0.120747043183824	-0.124292866110794	0.901083395521725	0.968234859339843	NA
FBgn0000212	3287.46496086775	0.0798786314749834	0.0971513975443957	0.822207744757155	0.4109586716845	0.738416449285667	brm
FBgn0000216	0.190048145436947	-1.05662569291664	3.87108289295889	-0.272953517693598	0.784888946701315	NA	Brd
FBgn0000221	208.619887169355	-0.28903988902576	0.157843769403526	-1.83117705638942	0.0670741200920689	0.276268946182975	brn
FBgn0000227	0	NA	NA	NA	NA	NA	Bsg25A
FBgn0000228	781.171311238561	-0.127735344875801	0.118289640505944	-1.07985233812071	0.280207940288815	0.632192222205458	Bsg25D
FBgn0000229	907.485966864453	-0.0623075513383019	0.116834956392404	-0.53329545593388	0.593829072715577	0.856293348217693	bsk
FBgn0000233	5.15742636729756	-0.736607997395646	0.896893658641918	-0.821287998078861	0.411482242417246	0.738753774949877	btd
