"X" "untreated1" "untreated2" "untreated3" "untreated4" "treated1" "treated2" "treated3"
"1" "FBgn0000003" 0 0 0 0 0 0 1
"2" "FBgn0000008" 92 161 76 70 140 88 70
"3" "FBgn0000014" 5 1 0 0 4 0 0
"4" "FBgn0000015" 0 2 1 2 1 0 0
"5" "FBgn0000017" 4664 8714 3564 3150 6205 3072 3334
"6" "FBgn0000018" 583 761 245 310 722 299 308
"7" "FBgn0000022" 0 1 0 0 0 0 0
"8" "FBgn0000024" 10 11 3 3 10 7 5
"9" "FBgn0000028" 0 1 0 0 0 1 1
"10" "FBgn0000032" 1446 1713 615 672 1698 696 757
"11" "FBgn0000036" 2 1 0 0 1 0 1
"12" "FBgn0000037" 15 25 9 5 20 14 17
"13" "FBgn0000038" 0 0 0 0 0 0 0
"14" "FBgn0000039" 0 1 0 0 0 1 1
"15" "FBgn0000042" 101664 120163 45880 53201 127363 76099 83164
"16" "FBgn0000043" 33402 41118 16007 18360 56048 31421 34344
"17" "FBgn0000044" 21 63 15 13 64 28 16
"18" "FBgn0000045" 9 15 1 5 14 4 6
"19" "FBgn0000046" 12 50 13 14 53 31 13
"20" "FBgn0000047" 7 21 4 4 31 9 4
"21" "FBgn0000052" 3026 3587 1624 1944 3169 1843 1912
"22" "FBgn0000053" 2253 2882 1281 1575 3265 1954 2069
"23" "FBgn0000054" 860 1111 445 488 988 475 535
"24" "FBgn0000055" 0 0 0 0 1 0 0
"25" "FBgn0000056" 0 0 0 0 0 0 0
"26" "FBgn0000057" 805 1144 445 539 977 553 589
"27" "FBgn0000061" 0 1 1 3 4 1 1
"28" "FBgn0000063" 468 732 220 269 735 339 352
"29" "FBgn0000064" 7764 12370 5009 5553 13068 6941 7905
"30" "FBgn0000071" 82 192 74 92 972 512 594
"31" "FBgn0000075" 1 5 2 2 4 1 1
"32" "FBgn0000077" 282 391 126 188 337 166 196
"33" "FBgn0000078" 37 49 25 37 19 17 18
"34" "FBgn0000079" 145 254 192 193 82 86 110
"35" "FBgn0000083" 6266 8483 3604 4539 7392 4422 4952
"36" "FBgn0000084" 1849 2627 1283 1515 2010 1366 1472
"37" "FBgn0000092" 9 14 7 10 28 12 13
"38" "FBgn0000094" 18 28 21 8 52 16 17
"39" "FBgn0000097" 3062 5949 2212 2070 5223 2340 2415
"40" "FBgn0000099" 1 2 3 1 4 1 0
"41" "FBgn0000100" 27837 44313 17596 22693 32829 20076 20779
"42" "FBgn0000108" 21 96 43 38 84 42 46
"43" "FBgn0000109" 228 204 69 112 269 69 86
"44" "FBgn0000114" 0 13 4 1 6 2 4
"45" "FBgn0000115" 665 1014 339 429 880 444 536
"46" "FBgn0000116" 467 658 302 288 1142 936 879
"47" "FBgn0000117" 11083 17643 7034 8130 16020 9446 10212
"48" "FBgn0000119" 792 1040 444 524 993 482 506
"49" "FBgn0000120" 0 0 0 0 0 0 0
"50" "FBgn0000121" 10 22 6 4 23 6 5
"51" "FBgn0000137" 0 0 0 0 1 0 0
"52" "FBgn0000139" 850 1313 421 573 894 407 466
"53" "FBgn0000140" 1222 1739 571 585 1687 795 704
"54" "FBgn0000142" 2181 3621 1383 1337 2786 1425 1601
"55" "FBgn0000146" 1613 2332 839 1027 3298 1425 1474
"56" "FBgn0000147" 456 579 213 301 779 394 385
"57" "FBgn0000150" 9288 12107 5421 7180 13822 8400 8610
"58" "FBgn0000152" 619 752 327 371 781 419 490
"59" "FBgn0000153" 29 30 15 30 30 18 22
"60" "FBgn0000157" 1 2 0 0 0 0 0
"61" "FBgn0000158" 8 13 3 3 11 6 4
"62" "FBgn0000163" 873 1562 759 683 1292 702 704
"63" "FBgn0000166" 4 15 8 6 8 11 4
"64" "FBgn0000171" 6690 10789 5725 5171 9396 5728 5830
"65" "FBgn0000173" 1792 2460 852 1235 2867 1211 1312
"66" "FBgn0000179" 0 3 1 0 3 0 2
"67" "FBgn0000180" 30 24 21 19 41 30 25
"68" "FBgn0000181" 14904 27979 8541 10972 19843 9772 10617
"69" "FBgn0000182" 4 5 2 5 3 4 3
"70" "FBgn0000183" 3162 4665 1706 1960 4403 1993 2144
"71" "FBgn0000206" 0 0 0 0 0 0 0
"72" "FBgn0000210" 1545 2785 1212 1091 2199 1422 1309
"73" "FBgn0000212" 3593 5807 2168 2272 4973 2694 3062
"74" "FBgn0000216" 0 0 0 1 0 0 0
"75" "FBgn0000221" 244 362 143 195 276 155 160
"76" "FBgn0000227" 0 0 0 0 0 0 0
"77" "FBgn0000228" 820 1560 550 587 1098 614 643
"78" "FBgn0000229" 1183 1819 565 625 1872 572 584
"79" "FBgn0000233" 7 20 2 4 7 1 4
"80" "FBgn0000239" 3033 4238 1634 1854 4136 1918 1925
"81" "FBgn0000241" 4 17 4 10 12 12 2
"82" "FBgn0000242" 187 290 102 103 286 134 128
"83" "FBgn0000244" 650 1007 427 366 707 318 370
"84" "FBgn0000246" 212 413 94 82 470 104 117
"85" "FBgn0000247" 3057 4677 2067 2018 3596 2061 2142
"86" "FBgn0000250" 2437 4478 1502 1744 3231 1682 1918
"87" "FBgn0000251" 1 3 2 1 3 2 2
"88" "FBgn0000253" 12631 20940 5651 6551 20479 7239 8182
"89" "FBgn0000256" 2315 4834 1784 1801 2784 1413 1549
"90" "FBgn0000257" 759 1198 528 612 1072 645 673
"91" "FBgn0000258" 1585 2208 545 585 2793 640 639
"92" "FBgn0000259" 2299 4764 1145 1349 4016 1299 1512
"93" "FBgn0000261" 2072 3344 1480 1514 2582 1359 1649
"94" "FBgn0000273" 1991 4588 1598 1468 3433 1479 1626
"95" "FBgn0000274" 0 0 0 0 0 0 0
"96" "FBgn0000276" 147 105 26 28 164 42 55
"97" "FBgn0000277" 88 34 15 20 53 20 16
"98" "FBgn0000278" 80 85 30 37 61 22 28
"99" "FBgn0000279" 96 166 49 63 246 84 76
"100" "FBgn0000280" 0 0 1 0 1 1 0
"101" "FBgn0000281" 2 2 1 0 2 1 0
"102" "FBgn0000283" 3988 7671 2291 2475 5580 2630 2678
"103" "FBgn0000286" 589 1069 394 385 585 293 349
"104" "FBgn0000287" 0 2 0 1 0 0 2
"105" "FBgn0000289" 4298 6212 2455 2635 4773 2653 2675
"106" "FBgn0000299" 41809 71772 30542 30486 90326 56187 52094
"107" "FBgn0000303" 1 6 1 2 9 1 3
"108" "FBgn0000307" 1765 3544 1139 1051 3239 1079 1185
"109" "FBgn0000308" 18201 37290 9205 11513 31250 11790 13687
"110" "FBgn0000313" 64 112 37 42 93 45 51
"111" "FBgn0000316" 6 3 0 1 4 2 0
"112" "FBgn0000317" 1905 2598 938 980 2503 1083 1027
"113" "FBgn0000318" 934 1548 469 707 1420 754 951
"114" "FBgn0000319" 17870 21165 9366 10371 21977 11606 11514
"115" "FBgn0000320" 3 0 1 1 0 2 0
"116" "FBgn0000326" 272 507 175 176 486 223 225
"117" "FBgn0000330" 323 348 159 175 319 165 186
