"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"FBgn0000043",31162.1624470633,0.608363609525021,0.111429582845495,5.45962386279916,4.77144360743054e-08,1.52083113346132e-06,"Act42A","35526"
"FBgn0000064",7917.1647758766,0.268988751045024,0.0840592093643393,3.19999144744678,0.00137431665647218,0.0146195918270378,"Ald1","43183"
"FBgn0000071",342.246487725455,2.62144935566491,0.157981395703166,16.5934054702897,7.77821632629075e-62,7.41004742017966e-59,"Ama","40831"
"FBgn0000078",29.0159476197304,-1.14501695430644,0.376028759374252,-3.04502495025078,0.00232661007847206,0.0226044025628499,"Amy-d","36932"
"FBgn0000079",159.517803392293,-1.2674098238261,0.184194419695086,-6.88082638944308,5.95063372725946e-12,3.67055637248364e-10,"Amy-p","47764"
"FBgn0000116",658.401186017792,1.19422563140812,0.144103573597402,8.28727283852487,1.15874622582648e-16,1.24188626752953e-14,"Argk","39041"
"FBgn0000139",647.185703924521,-0.396337358227088,0.115469142712399,-3.43240929062973,0.00059824396882929,0.00730943807287435,"ash2","42936"
"FBgn0000146",1576.30805874511,0.502619994241718,0.0983449662540148,5.11078516152522,3.20822654863765e-07,9.29301838784433e-06,"aub","34524"
"FBgn0000147",415.444890279629,0.414997894481999,0.138277064868187,3.00120554972436,0.00268912973838732,0.0254207258841598,"aurA","41446"
"FBgn0000244",510.181336818746,-0.39857729121339,0.132052456639209,-3.01832545457579,0.00254175774454769,0.0242954636585863,"by","41144"
"FBgn0000256",2184.38418658361,-0.471166840672101,0.114980234901087,-4.09780725424181,4.17082346808824e-05,0.000743464457700386,"capu","33611"
"FBgn0000286",484.866177021058,-0.544420077751067,0.130102946033527,-4.18453305131747,2.85752871346722e-05,0.000529167412295204,"Cf2","33692"
"FBgn0000299",50847.9195970174,0.593589274615541,0.10004140597183,5.93343594933766,2.96659762485392e-09,1.13551821587042e-07,"Col4a1","33727"
"FBgn0000346",94.0122418329444,0.660645032649117,0.22627770643213,2.91962050997398,0.00350457863926107,0.0315964850189531,"comt","47091"
"FBgn0000392",1080.22501007295,0.455174050069236,0.108276636171997,4.20380671363113,2.62463087229015e-05,0.000489208371717733,"cup","33934"
"FBgn0000405",2318.16095763606,0.549462445486837,0.107733320250447,5.10020896236657,3.39278700913943e-07,9.76166302562467e-06,"CycB","37618"
"FBgn0000406",265.504534086402,-2.07542043020377,0.222764047437841,-9.31667589126064,1.20042235941152e-20,1.94196628482912e-18,"Cyt-b5-r","35008"
"FBgn0000416",38598.0769091585,-0.377626910895261,0.0803462847794024,-4.69999218921034,2.60171441639033e-06,6.52254368600313e-05,"Sap-r","43662"
"FBgn0000447",619.766706055603,0.533012979160416,0.119712126805107,4.45245601582343,8.48936337912733e-06,0.000185683167379178,"Dhod","41022"
"FBgn0000490",200.715975283772,0.841426497941811,0.191910823279803,4.38446609504158,1.16270589261388e-05,0.000244939565682344,"dpp","33432"
"FBgn0000524",891.43494654168,0.30623243940012,0.110719552383067,2.76583884967868,0.00567765844567313,0.0461075911530154,"dx","31589"
"FBgn0000527",136.818365835816,-0.625311357899544,0.195503812370655,-3.19846119785132,0.00138163124770345,0.0146429002692328,"e","42521"
"FBgn0000535",177.570397557396,-0.745176147823226,0.205506036509337,-3.62605478885468,0.00028778432013552,0.00395426724493901,"eag","32428"
"FBgn0000547",341.819532101959,0.497638444096069,0.169909939398393,2.92883656987977,0.0034023326083523,0.0307717297299711,"ed","33619"
"FBgn0000565",602.091318890895,0.668148213061019,0.135252593829096,4.94000295406746,7.81213873237986e-07,2.13997691665894e-05,"MsrA","39675"
"FBgn0000567",261.174489927451,-1.22965264298093,0.165886864751544,-7.41259800661512,1.23848865691312e-13,9.8901230135055e-12,"Eip74EF","39962"
"FBgn0000578",5449.5202851932,-0.333587524996939,0.10486445338342,-3.18113063324928,0.00146701462454649,0.0153579772782193,"ena","37201"
"FBgn0000579",8747.49602754771,0.412423744319412,0.0863869297229107,4.77414518194219,1.80472159341889e-06,4.63283920418371e-05,"Eno","33351"
"FBgn0000634",352.304051150188,0.407692779141663,0.140333659764502,2.90516744041183,0.00367056681112946,0.0328168715143259,NA,NA
"FBgn0000826",125.67315413373,0.536289403578576,0.195774428311856,2.73932304746308,0.00615658464076532,0.0490581382062471,"png","31084"
"FBgn0000928",677.617319236748,0.445955370175547,0.12293973560379,3.62743069183727,0.00028625558044718,0.00393957519543198,"fs(1)Yb","31262"
"FBgn0001091",4323.52854773218,0.633753508962088,0.106584396598338,5.94602520808353,2.74731856892066e-09,1.06586015429528e-07,"Gapdh1","35728"
"FBgn0001114",39030.5141530254,-0.56007504974273,0.100663537152548,-5.56383240233233,2.63913425748659e-08,8.94384866549013e-07,"Glt","34193"
"FBgn0001122",996.393754348971,0.730853662551003,0.125779306256051,5.81060338386026,6.22480774592545e-09,2.31045461530584e-07,"Galphao","36104"
"FBgn0001124",1265.57373924389,0.651713413100144,0.0972437620236251,6.70185315271751,2.0579279399332e-11,1.14575806214203e-09,"Got1","36782"
"FBgn0001137",494.04936828311,-1.22842363076624,0.143565951501735,-8.5565109130447,1.16334829842535e-17,1.42493547295699e-15,"grk","34171"
"FBgn0001197",3285.17781349619,0.349565104786467,0.0897441104334086,3.89513142531899,9.81454991277368e-05,0.00161206802590271,"His2Av","43229"
